game_id,season,week,game_date,home_team,away_team,halftime_home_score,halftime_away_score,final_home_score,final_away_score,pregame_spread,pregame_total,trailing_team_home,trailing_team,halftime_deficit,trailing_team_was_favorite,trailing_team_favorite_by,trailing_team_won
2025_06_ARI_IND,2025,6,2025-10-12,IND,ARI,14.0,10.0,31,27,8.5,46.5,False,ARI,4,False,0.0,0
2025_06_BUF_ATL,2025,6,2025-10-13,ATL,BUF,21.0,7.0,24,14,-3.5,49.5,False,BUF,14,True,3.5,0
2025_06_CHI_WAS,2025,6,2025-10-13,WAS,CHI,7.0,13.0,24,25,5.5,49.5,True,WAS,6,True,5.5,0
2025_06_CIN_GB,2025,6,2025-10-12,GB,CIN,10.0,0.0,27,18,14.0,44.5,False,CIN,10,False,0.0,0
2025_06_CLE_PIT,2025,6,2025-10-12,PIT,CLE,9.0,3.0,23,9,5.5,37.5,False,CLE,6,False,0.0,0
2025_06_DAL_CAR,2025,6,2025-10-12,CAR,DAL,13.0,17.0,30,27,-3.0,47.5,True,CAR,4,False,0.0,1
2025_06_DEN_NYJ,2025,6,2025-10-12,NYJ,DEN,6.0,10.0,11,13,-7.5,43.5,True,NYJ,4,False,0.0,0
2025_06_DET_KC,2025,6,2025-10-12,KC,DET,13.0,10.0,30,17,2.5,51.5,False,DET,3,False,0.0,0
2025_06_LAC_MIA,2025,6,2025-10-12,MIA,LAC,13.0,9.0,27,29,-3.5,45.5,False,LAC,4,True,3.5,1
2025_06_NE_NO,2025,6,2025-10-12,NO,NE,16.0,22.0,19,25,-3.5,46.5,True,NO,6,False,0.0,0
2025_06_PHI_NYG,2025,6,2025-10-09,NYG,PHI,20.0,17.0,34,17,-7.0,40.5,False,PHI,3,True,7.0,0
2025_06_SEA_JAX,2025,6,2025-10-12,JAX,SEA,6.0,13.0,12,20,-1.5,47.5,True,JAX,7,False,0.0,0
2025_06_SF_TB,2025,6,2025-10-12,TB,SF,20.0,16.0,30,19,3.5,46.5,False,SF,4,False,0.0,0
2025_06_TEN_LV,2025,6,2025-10-12,LV,TEN,10.0,0.0,20,10,3.5,41.5,False,TEN,10,False,0.0,0
2025_07_ATL_SF,2025,7,2025-10-19,SF,ATL,10.0,3.0,20,10,1.5,46.5,False,ATL,7,False,0.0,0
2025_07_CAR_NYJ,2025,7,2025-10-19,NYJ,CAR,3.0,10.0,6,13,1.5,39.5,True,NYJ,7,True,1.5,0
2025_07_GB_ARI,2025,7,2025-10-19,ARI,GB,13.0,6.0,23,27,-7.0,44.5,False,GB,7,True,7.0,1
2025_07_HOU_SEA,2025,7,2025-10-20,SEA,HOU,14.0,6.0,27,19,3.0,41.5,False,HOU,8,False,0.0,0
2025_07_IND_LAC,2025,7,2025-10-19,LAC,IND,3.0,23.0,24,38,2.5,48.5,True,LAC,20,True,2.5,0
2025_07_LA_JAX,2025,7,2025-10-19,JAX,LA,0.0,21.0,7,35,-3.0,44.5,True,JAX,21,False,0.0,0
2025_07_LV_KC,2025,7,2025-10-19,KC,LV,21.0,0.0,31,0,13.5,44.5,False,LV,21,False,0.0,0
2025_07_MIA_CLE,2025,7,2025-10-19,CLE,MIA,17.0,6.0,31,6,2.5,34.5,False,MIA,11,False,0.0,0
2025_07_NE_TEN,2025,7,2025-10-19,TEN,NE,13.0,17.0,13,31,-6.5,40.5,True,TEN,4,False,0.0,0
2025_07_NO_CHI,2025,7,2025-10-19,CHI,NO,20.0,7.0,26,14,4.5,43.5,False,NO,13,False,0.0,0
2025_07_NYG_DEN,2025,7,2025-10-19,DEN,NYG,0.0,13.0,33,32,7.5,39.5,True,DEN,13,True,7.5,1
2025_07_PHI_MIN,2025,7,2025-10-19,MIN,PHI,6.0,14.0,22,28,-2.5,43.5,True,MIN,8,False,0.0,0
2025_07_PIT_CIN,2025,7,2025-10-16,CIN,PIT,17.0,10.0,33,31,-5.5,45.5,False,PIT,7,True,5.5,0
